Energy, CrossSection1356, CrossSection1356Ajello, CrossSection1152
14.3,0.0003, ,
14.7,	   ,0.116,     
16  ,1.68  ,2.19,  0.00219
18  ,2.73  ,3.27,  0.0273
20  ,3.37  ,3.77,  0.0496
25  ,4.11  ,4.68,  0.117
30  ,4.18  ,5.16,  0.154
35  ,4.32  ,5.47,  0.176
40  ,4.72  ,5.69,  0.209
45  ,5.24  ,5.83,  0.247
50  ,5.74  ,5.96,  0.289
60  ,6.45  ,6.11,  0.359
70  ,6.74  ,6.22,  0.398
80  ,6.76  ,6.33,  0.414
90  ,6.65  ,6.38,  0.417
100 ,6.40  ,6.40,  0.413
125 ,5.98  ,6.36,  0.386
150 ,5.52  ,6.22,  0.355
175 ,5.13  ,6.05,  0.324
200 ,4.79  ,5.83,  0.298
225 ,4.49  ,5.63,  0.275
250 ,4.23  ,5.41,  0.255
275 ,4.00  ,5.23,  0.238
300 ,3.79  ,5.05,  0.223
400 ,3.13  ,	,  0.179
500 ,2.62  ,    ,  0.152
600 ,2.21  ,    ,  0.133